Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,What religious affiliation are you?,,How many muslim people have you talked to / with in the last 7 days ?,How do you feel about Muslims people in America,What is your level of education?,Where do you get your news from?,,How comfortable do you feel interacting with Muslims in your community?,How often do you hear positive things about Muslims in the media?,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,Response,Other (please specify),Response,Response,Response,Response,Other (please specify),Response,Response,,,,,
118636441838,456809113,06/28/2024 12:14:33 AM,06/28/2024 12:14:55 AM,,,,,42e364854ee0d88ae7a54414fc,smc,Muslim,,More than 10,Good,Graduate school,Twitter,,Comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118636441774,456809113,06/28/2024 12:13:39 AM,06/28/2024 12:14:45 AM,,,,,394e663d557cf20dbe029ccb11,smc,Christian (any denomination),,More than 10,Bad,Graduate school,Facebook,,Very comfortable,Often,male,18_to_29,pacific,android_mobile,175000_to_199999
118636441694,456809113,06/28/2024 12:14:13 AM,06/28/2024 12:14:32 AM,,,,,7979a63e44103174c29f1e9013,smc,Muslim,,5 to 10,Good,High school or less,Facebook,,Comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118636441695,456809113,06/28/2024 12:13:51 AM,06/28/2024 12:14:32 AM,,,,,7654f47158c3b05844841ae495,smc,Christian (any denomination),,More than 10,Good,Graduate school,Twitter,,Comfortable,Often,male,30_to_44,pacific,android_mobile,175000_to_199999
118636441226,456809113,06/28/2024 12:12:50 AM,06/28/2024 12:13:14 AM,,,,,85cfb2e16978687e3ae4669696,smc,Muslim,,5 to 10,Good,High school or less,Facebook,,Very comfortable,Often,male,18_to_29,,android_mobile,50000_to_74999
118636440973,456809113,06/28/2024 12:11:05 AM,06/28/2024 12:12:27 AM,,,,,c8f70a2cd8eec0f12d7ae9adfc,smc,Christian (any denomination),,5 to 10,Neutral,Graduate school,Facebook,,Very comfortable,Often,male,18_to_29,,android_mobile,175000_to_199999
118636440573,456809113,06/28/2024 12:10:24 AM,06/28/2024 12:11:22 AM,,,,,ec3e1683fec80626b477bea8f1,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Very comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118636439258,456809113,06/28/2024 12:06:58 AM,06/28/2024 12:07:59 AM,,,,,ce5db4e568cbc82f51dbf1bdd6,smc,Christian (any denomination),,1,Neutral,College,Other (please specify),apple and yahoo news,Comfortable,Not often,male,60_above,mountain,pc_windows,100000_to_124999
118636438940,456809113,06/28/2024 12:06:53 AM,06/28/2024 12:07:10 AM,,,,,9514597e67a065d86f4b132d0f,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,50000_to_74999
118636438820,456809113,06/28/2024 12:06:29 AM,06/28/2024 12:06:55 AM,,,,,b0c95a96084fbbf5c27c6dcf9b,smc,Christian (any denomination),,5 to 10,Good,Graduate school,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,25000_to_49999
118636438662,456809113,06/28/2024 12:06:13 AM,06/28/2024 12:06:31 AM,,,,,a124cd4cdcdbec4d7c1b016659,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,50000_to_74999
118636438473,456809113,06/28/2024 12:02:59 AM,06/28/2024 12:05:59 AM,,,,,ad680d9e785ffc0718e5df69b4,smc,Christian (any denomination),,5 to 10,Good,Graduate school,Twitter,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,150000_to_174999
